@relation sentiment

@attribute feat1 numeric
@attribute feat2 numeric
@attribute feat3 numeric
@attribute feat4 numeric
@attribute feat5 numeric
@attribute feat6 numeric
@attribute feat7 numeric
@attribute feat8 numeric
@attribute feat9 numeric
@attribute feat10 numeric
@attribute feat11 numeric
@attribute feat12 numeric
@attribute feat13 numeric
@attribute feat14 numeric
@attribute feat15 numeric
@attribute feat16 numeric
@attribute feat17 numeric
@attribute feat18 numeric
@attribute feat19 numeric
@attribute feat20 numeric
@attribute class {0, 4}

@data
0,0,0,1,0,0,0,0,0,0,1,4,0,0,0,0,0,8.50,3.13,2,0
2,0,0,0,0,0,0,0,0,0,1,4,0,3,0,0,0,9.00,4.00,2,0
1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4.00,3.86,2,0
0,0,0,0,1,0,1,0,0,0,1,3,0,1,0,0,0,10.00,4.75,1,0
0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,6.00,5.50,1,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.00,4.50,1,0
0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,4.50,3.57,2,0
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,5.50,4.20,2,0
1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,5.50,4.50,2,0
2,0,3,1,3,1,0,0,0,0,0,7,0,0,0,0,0,12.50,3.78,2,0
0,0,0,0,0,1,0,0,0,0,0,10,0,2,0,2,3,5.00,3.94,4,0
0,0,0,0,2,0,0,0,0,0,1,2,1,1,0,0,0,6.00,4.90,2,0
0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,8.00,3.14,1,0
2,0,1,0,0,1,1,0,0,0,0,4,0,3,0,0,0,9.00,5.19,2,0
1,0,0,0,2,0,0,0,0,0,0,4,0,1,1,1,0,7.00,4.58,2,0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.00,2.75,1,0
1,0,0,1,0,0,0,0,0,0,0,12,0,2,0,0,0,28.00,3.85,1,0
1,0,1,1,1,1,1,0,0,0,0,9,0,3,1,1,1,33.00,3.34,1,0
0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,7.00,2.86,1,0
1,0,0,0,0,1,0,0,1,0,0,2,2,2,0,0,1,13.00,2.75,1,0
0,0,0,1,0,1,0,0,0,0,0,6,0,0,0,0,1,4.00,4.90,3,0
1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,12.00,4.00,1,0
2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.00,4.29,1,0
2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,9.00,3.50,1,0
1,0,2,0,0,0,0,0,0,0,0,4,0,1,0,0,1,6.00,3.80,4,0
2,0,0,1,1,0,0,0,0,0,0,5,0,1,0,0,0,11.00,4.36,1,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3.00,5.00,1,0
1,0,0,1,0,0,0,0,0,0,1,3,0,2,0,0,0,4.50,4.25,2,0
0,0,0,1,0,0,0,0,0,0,1,2,1,1,0,0,0,4.00,2.80,3,0
1,0,3,1,0,1,0,0,0,0,0,5,0,3,0,0,0,25.00,3.61,1,0
1,0,1,0,1,1,0,0,1,0,0,6,0,0,0,0,0,16.00,3.71,1,0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.00,5.00,1,0
3,0,0,0,0,1,0,0,0,0,0,6,1,1,0,0,0,13.50,3.16,2,0
1,1,0,0,0,1,0,0,0,0,0,3,0,1,0,1,0,10.00,4.40,1,0
1,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,10.00,4.10,1,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9.00,3.44,1,0
1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4.00,3.00,1,0
0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,8.00,4.57,1,0
2,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,16.00,4.36,1,0
2,0,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,8.00,3.83,2,0
0,0,0,0,0,0,1,0,0,0,1,6,0,1,0,0,0,9.00,3.69,2,0
1,0,1,0,0,0,1,0,1,0,0,4,0,1,0,0,0,14.00,3.58,1,0
3,1,0,1,3,0,1,0,0,0,1,1,0,1,0,1,0,13.00,3.36,1,0
0,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,0,6.00,5.00,2,0
0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,7.00,4.17,1,0
2,0,2,1,1,1,0,0,0,0,0,6,0,3,0,1,0,11.00,3.19,2,0
1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7.00,4.43,1,0
1,0,0,0,1,0,0,0,0,0,1,6,1,0,0,0,0,14.00,4.92,1,0
1,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0,8.50,4.43,2,0
0,1,0,1,0,0,1,0,0,0,0,6,0,1,1,0,0,8.00,4.77,2,0
0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,7.50,4.43,2,0
2,0,0,1,0,1,0,0,0,0,1,9,0,2,1,0,0,13.50,3.04,2,0
1,1,0,1,0,0,0,1,0,0,0,5,1,1,1,0,0,15.00,3.85,2,0
1,0,1,1,1,0,0,0,0,0,1,3,0,1,0,0,0,7.00,3.58,2,0
0,0,0,0,1,0,0,0,0,0,0,6,0,1,0,0,0,6.00,5.09,2,0
0,0,0,1,0,0,0,0,0,0,0,9,1,1,0,0,0,4.00,4.70,3,0
0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,10.00,5.20,1,0
0,0,0,0,0,1,0,0,0,0,1,3,0,1,0,1,5,12.00,3.36,1,0
1,0,0,0,1,0,0,0,0,0,0,5,1,0,1,0,0,12.00,4.91,1,0
1,0,0,0,1,0,0,0,0,0,0,3,0,2,0,0,0,7.50,4.71,2,0
1,0,0,0,0,0,0,0,1,0,0,3,1,2,0,0,1,10.50,4.72,2,0
0,0,1,0,0,0,0,0,0,0,0,6,0,1,0,1,0,6.00,3.91,2,0
0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,3.00,3.40,2,0
3,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,13.00,3.58,1,0
6,0,0,1,1,1,0,0,0,0,0,5,0,2,0,0,0,11.33,3.35,3,0
0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,13.00,5.38,1,0
1,0,0,0,1,0,0,0,0,0,0,3,1,0,1,0,0,12.00,4.91,1,0
4,0,0,0,1,1,0,0,0,0,0,7,0,3,0,1,0,27.00,3.63,1,0
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6.00,4.83,1,0
1,0,0,0,1,0,0,1,0,0,0,3,1,0,0,0,0,11.00,4.10,1,0
1,1,0,0,0,1,0,0,0,0,0,2,0,3,0,1,0,16.00,3.81,1,0
2,0,0,0,0,0,1,0,0,0,0,5,0,1,0,1,0,28.00,4.07,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4.00,7.25,1,0
0,0,0,0,2,0,0,0,0,0,0,4,0,0,1,0,0,4.50,5.86,2,0
3,0,1,2,1,0,0,0,0,0,0,6,0,1,1,0,0,10.00,3.75,3,0
0,0,0,0,1,0,0,0,0,0,0,5,0,0,1,0,0,14.00,4.43,1,0
0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,3.50,4.80,2,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3.00,4.00,1,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3.00,4.00,1,0
0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,3.00,7.50,1,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.00,3.50,1,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.00,4.50,1,0
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,7.00,3.83,1,0
1,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,8.00,3.29,2,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9.00,3.25,1,0
1,0,0,0,0,0,1,0,0,1,0,4,0,0,0,0,0,16.00,3.93,1,0
0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,6.00,5.00,1,0
0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6.00,3.00,1,0
0,0,2,0,1,0,0,0,0,2,0,16,0,2,0,1,1,14.50,3.75,2,0
1,0,1,0,0,0,0,0,1,0,0,6,0,3,0,0,0,13.50,3.75,2,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3.00,4.33,1,0
0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3.00,5.67,4,0
0,0,0,0,1,0,1,0,1,0,0,5,1,1,0,0,0,22.00,4.58,1,0
0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,13.00,4.75,1,0
0,0,0,1,0,0,1,0,2,0,0,3,1,3,0,0,0,21.00,5.33,1,0
0,0,2,0,0,1,0,0,0,0,0,3,0,2,0,0,0,14.00,4.00,1,0
1,0,0,0,2,0,1,0,1,0,0,6,1,3,0,0,0,23.00,3.95,1,0
1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,7.00,4.42,2,0
0,2,0,0,0,1,1,0,0,0,1,7,0,4,0,2,0,11.67,3.26,3,0
0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,1,7.00,3.57,1,0
0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,13.00,4.33,1,0
0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,6.00,4.80,1,0
0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,5.50,4.22,2,0
1,0,1,0,1,0,0,0,0,0,0,7,0,1,1,3,0,6.00,3.94,3,0
1,0,1,1,1,0,1,0,0,0,0,2,1,2,0,1,0,20.00,3.21,1,0
1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3.50,4.00,2,0
1,0,0,1,0,0,0,0,0,0,0,5,0,1,0,0,0,12.00,5.83,1,0
1,0,1,1,1,1,0,0,1,0,0,5,1,3,1,0,0,9.67,4.24,3,0
0,0,0,1,1,0,1,0,0,0,0,6,0,2,0,1,0,11.50,4.38,2,0
0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5.00,3.08,3,0
3,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,12.00,4.83,2,0
2,0,1,0,1,0,0,0,0,0,0,7,0,2,0,0,0,8.00,3.64,3,0
0,0,1,1,0,0,1,0,0,0,0,10,1,1,0,0,0,29.00,3.59,1,0
5,0,0,0,0,0,1,0,0,0,1,8,1,4,0,1,0,14.00,4.28,2,0
1,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,10,21.00,4.65,1,0
0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,6.00,3.33,1,0
0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,3.00,3.33,1,0
1,0,0,0,0,0,0,1,0,0,0,7,4,1,1,0,0,7.00,4.26,4,0
3,0,1,1,3,0,0,0,1,0,0,9,0,0,1,0,0,16.50,3.10,2,0
1,0,0,1,0,0,1,0,0,0,0,4,1,3,0,0,0,9.50,4.94,2,0
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4.00,3.00,2,0
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,7.00,3.86,1,0
0,2,1,0,1,0,0,0,0,0,0,4,0,2,1,1,0,7.33,4.37,3,0
1,0,0,1,1,0,0,0,0,0,0,8,1,2,0,0,0,12.00,4.48,2,0
0,0,1,0,0,0,2,0,0,0,0,6,0,0,0,0,0,7.67,3.67,3,0
4,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,7.50,3.78,4,0
0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,8.00,4.77,2,0
0,1,0,0,1,0,0,0,0,0,0,8,0,1,0,2,0,10.00,6.33,2,0
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5.00,3.75,1,0
2,1,1,0,2,0,0,0,0,0,0,6,0,2,1,0,0,12.00,3.55,2,0
2,0,0,0,4,0,0,0,0,0,0,7,1,1,1,1,0,9.67,3.85,3,0
2,1,0,0,0,0,1,0,0,0,0,2,1,1,1,0,0,5.00,3.42,3,0
2,0,0,0,0,1,0,0,0,0,0,7,1,1,0,1,0,7.00,3.61,3,0
0,0,0,0,0,0,1,0,0,0,0,1,0,4,0,1,0,8.00,4.14,1,0
6,0,0,0,1,0,0,0,0,0,0,2,3,3,1,0,0,16.00,3.55,2,0
3,0,1,0,1,0,0,0,0,0,0,2,0,0,1,0,0,15.00,3.80,1,0
0,1,1,0,0,0,0,0,0,0,1,9,0,1,1,0,0,6.20,3.50,5,0
0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,8.00,4.40,2,0
2,2,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,9.00,4.38,2,0
0,0,2,0,0,0,0,0,0,0,0,5,0,3,0,1,0,7.50,4.79,2,0
1,0,0,1,1,0,0,0,0,0,0,2,0,1,0,0,1,10.00,3.40,1,0
3,2,1,1,0,1,1,0,0,0,0,7,0,1,0,0,0,13.50,4.33,2,0
1,0,0,1,1,0,0,0,0,0,1,4,0,2,0,0,0,10.00,3.94,2,0
1,0,0,0,0,0,1,0,0,0,1,4,0,2,0,1,0,6.50,4.55,2,0
1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4.00,5.00,1,0
2,0,1,0,0,0,0,0,0,0,0,4,1,1,0,0,0,19.00,3.84,1,0
2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6.00,3.30,2,0
0,0,1,1,0,1,0,0,0,0,0,5,1,0,0,0,0,7.67,4.65,3,0
1,0,2,0,0,0,0,0,0,0,0,6,0,3,0,1,0,11.00,3.48,2,0
0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,10.00,4.67,1,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5.00,4.00,1,0
0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6.00,5.36,2,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.00,5.00,1,0
2,0,0,0,0,0,0,0,0,0,0,7,0,3,0,1,0,25.00,4.17,1,0
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.00,4.20,1,0
5,0,1,0,0,1,1,0,0,0,0,3,0,6,1,0,0,29.00,3.59,1,0
0,0,1,1,0,1,0,0,0,0,0,1,0,2,0,1,0,10.00,3.60,1,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.00,8.50,1,0
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4.00,3.75,1,0
1,0,1,0,0,0,3,0,0,0,1,2,2,4,0,0,0,8.00,3.83,3,0
2,0,1,1,0,0,0,0,1,0,0,3,0,0,0,0,0,22.00,3.35,1,0
0,0,0,1,0,0,2,0,0,0,0,5,0,4,0,0,0,13.00,4.27,1,0
1,1,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,5.50,4.33,2,0
1,1,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,11.00,3.27,1,0
0,0,1,0,0,1,0,0,0,0,0,4,0,1,1,0,0,15.00,4.64,1,0
1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,7.00,4.14,1,0
1,1,0,0,2,0,1,0,1,0,0,11,0,0,0,0,0,10.00,4.00,3,0
1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5.00,3.25,1,0
0,0,0,0,2,0,0,0,0,0,0,9,0,3,1,0,0,8.50,4.33,2,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.00,3.33,1,0
2,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,12.00,3.86,2,0
2,0,1,1,1,0,2,0,0,0,0,7,0,5,1,0,0,10.33,4.00,3,0
0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,4.00,2.75,1,0
3,0,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0,6.00,3.93,3,0
1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,9.00,4.57,1,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6.00,4.20,1,0
1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,10.00,3.00,1,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9.00,4.50,1,0
1,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,9.00,4.11,1,0
1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,6.00,6.83,1,0
0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,18.00,4.72,1,0
2,0,1,0,0,0,0,0,1,0,0,4,1,1,0,0,0,15.00,3.92,2,0
2,0,0,0,0,0,1,1,0,0,0,4,0,2,0,0,0,8.33,3.80,3,0
1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,8.00,3.36,2,0
1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,6.00,4.33,1,0
0,0,0,1,0,0,0,0,0,0,0,6,0,1,0,0,0,8.50,3.80,2,0
0,1,0,1,1,0,0,0,0,0,0,2,0,1,0,0,0,7.00,5.43,1,0
2,0,2,0,0,0,1,0,0,0,0,3,1,2,0,1,0,8.00,3.64,2,0
0,1,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,7.00,5.00,1,0
2,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,12.00,3.10,1,0
2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7.50,3.64,2,0
0,0,0,1,0,1,0,0,0,0,0,5,0,0,0,0,0,13.00,4.46,1,0
0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,1,7.00,4.54,2,0
1,0,0,0,1,0,0,0,1,0,0,2,0,3,0,0,0,8.00,3.62,2,0
0,0,0,0,1,0,0,0,0,0,1,6,0,0,0,0,0,6.00,3.80,3,0
1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,11.00,3.82,1,0
3,0,0,0,1,0,0,0,0,0,0,4,0,2,0,0,0,9.00,3.47,2,0
1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,12.00,4.67,1,0
0,4,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,10.00,4.58,2,0
1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,7.00,7.43,1,0
1,0,1,0,0,0,1,0,0,0,0,2,1,2,0,0,0,9.50,3.24,2,0
2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5.50,3.44,2,0
0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,1,1,5.00,4.75,2,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.00,4.67,1,0
2,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9.00,2.94,2,0
3,0,2,1,1,0,0,0,0,0,0,5,0,1,0,0,0,6.67,3.87,3,0
0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,4.00,4.57,2,0
0,0,0,0,0,0,1,0,0,0,0,4,0,2,1,0,0,8.00,4.00,2,0
0,1,0,0,0,1,0,0,0,0,0,2,0,3,1,1,0,9.50,4.28,2,0
2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5.50,4.67,2,0
0,0,0,1,1,1,0,0,0,0,4,7,0,4,0,0,0,6.20,3.88,5,0
0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,20.00,3.42,1,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.00,3.40,1,0
2,0,0,1,0,0,1,0,0,0,0,10,1,1,0,0,0,8.33,3.90,3,0
0,0,0,2,1,0,1,0,0,0,0,5,2,4,0,0,0,30.00,3.89,1,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.00,3.33,1,0
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6.00,4.40,1,0
2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.00,3.40,1,0
0,0,0,1,0,0,2,0,0,0,1,2,0,1,0,0,0,5.00,4.36,3,0
1,0,0,1,1,0,0,0,0,0,1,7,0,2,1,0,0,13.50,3.73,2,0
0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,6.00,3.36,2,0
0,0,0,2,1,0,0,0,0,0,0,3,0,1,0,1,0,7.50,3.77,2,0
3,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,10.00,3.30,1,0
1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6.00,3.33,1,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.00,6.50,1,0
1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,5.00,4.00,1,0
0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,7.00,3.00,1,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,4.00,4.25,1,0
3,1,0,1,0,1,0,0,0,0,0,5,0,1,0,0,0,9.00,4.16,3,0
0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6.00,5.67,1,0
0,0,0,0,0,0,2,0,0,0,0,6,1,1,0,0,0,9.00,4.53,2,0
0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,8.00,5.00,1,0
0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,8.00,4.33,1,0
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,6.00,5.50,1,0
1,0,0,0,1,0,0,0,0,0,1,6,0,3,0,1,0,8.50,3.50,2,0
3,0,0,1,1,0,1,0,0,0,0,0,0,2,0,1,0,14.00,2.92,1,0
0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6.00,6.50,1,0
0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,6.00,5.00,1,0
2,2,1,1,0,0,2,0,0,0,0,3,0,3,0,0,0,12.50,3.52,2,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11.00,3.70,1,0
1,0,1,0,0,0,0,0,0,0,1,8,0,1,0,1,0,6.50,3.78,4,0
0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,5.00,4.62,4,0
1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7.00,3.14,1,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.00,5.50,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.00,5.75,1,0
0,0,0,0,0,0,0,0,0,0,1,5,2,2,0,0,0,6.00,4.05,4,0
1,1,2,0,2,1,0,0,0,0,0,3,0,1,0,0,0,7.00,3.44,3,0
1,0,1,1,0,1,0,0,0,0,2,2,0,6,0,1,0,7.00,3.67,3,0
1,0,2,0,1,1,0,0,1,0,0,7,0,3,0,0,0,10.00,3.85,3,0
1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,7.00,3.71,1,0
1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4.00,5.25,1,0
2,0,0,2,2,0,0,0,0,0,0,8,0,1,0,0,0,14.50,3.93,2,0
0,0,1,1,0,0,1,0,1,0,0,6,0,3,0,0,0,14.00,3.46,2,0
1,0,0,0,1,1,2,0,0,0,0,6,0,5,1,1,0,26.00,4.87,1,0
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5.00,3.12,2,0
1,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,6.00,4.90,2,0
1,0,1,1,2,0,0,0,0,0,2,3,0,1,0,0,0,4.67,4.83,3,0
2,0,0,0,0,0,1,0,0,0,0,4,0,3,0,0,0,10.50,4.95,2,0
